target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope,fbindex_ux,fbindex_uy,fbindex_uz,fbindex_interaction,fbindex_result_num,fbindex_final_cost,fbindex_result
0.0001,0.0001007912362475,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uy', 'uz']","{'ux': [-0.00041700401979560884, 0.0006331925186419624], 'uy': [-0.008698224269997942, -0.003669608441617628], 'uz': [0.042832841407499114, 0.06010127950034712]}",5.208456039428711,4.879760503768921,5.166952848434448,11.110003232955933,0,26.365172624588013,0.0
0.0001,9.942193029531714e-05,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz']","{'ux': [0.02677295799439275, 0.030246710487623743], 'uy': [-0.11994056845827739, 0.1268707866908258], 'uz': [0.17033498620093956, 0.1768869217307601]}",2.2612240314483643,37.008814334869385,0.9522984027862549,50.82900333404541,0,91.05134010314941,0.0
0.0001,9.907691678615196e-05,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz', 'uy']","{'ux': [0.00597212203505612, 0.013380840952379], 'uy': [-0.058541553241165147, -0.04740815575951234], 'uz': [0.08935351050659447, 0.12570393042975778]}",1.7294948101043701,1.7271528244018555,0.48595523834228516,0.2778899669647217,0,4.220492839813232,0.0
0.0001,0.0001004333250371,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uy']","{'ux': [0.027366853468741445, 0.028464118812200206], 'uy': [0.01709658352760168, 0.018854068808075743], 'uz': [0.007215824499179459, 0.2162559529105032]}",1.62298583984375,0.8980910778045654,1.376253604888916,7.3909759521484375e-06,0,3.8973379135131836,0.0
0.0001,0.0001001098076967,9000,hydrogen,"('ux', 'uy', 'uz')","['uy', 'uz', 'ux']","{'ux': [-0.04932648753384858, -0.020758857578061257], 'uy': [-0.06944505410100178, -0.041916152805575584], 'uz': [0.08712842730866346, 0.3627360977081716]}",5.973853349685669,2.294268846511841,0.40253567695617676,6.545276403427124,0,15.21593427658081,0.0
0.0001,9.9e-05,9000,hydrogen,"('ux','uy','uz')","['uz','ux']","{'ux': [-0.007680342182997823, -0.0071103602345117135], 'uy': [-0.06505203065011117, 0.024811969165891682], 'uz': [0.08481586663543272, 0.09332697185852618]}",4.393967151641846,1.7980387210845947,0.5225181579589844,0.8364465236663818,0,7.550970554351807,0.0
0.0001,0.0001,9000,hydrogen,"('ux','uy','uz')","['uz','ux']","{'ux': [-0.0368913138329991, -0.030199414371926588], 'uy': [-0.10627690189640435, 0.029437180868000123], 'uz': [0.18087081823920073, 0.1935761542347514]}",3.435258626937866,1.7581701278686523,0.462740421295166,1.3434076309204102,0,6.999576807022095,0.0
0.0001,0.0001,9000,hydrogen,"('ux','uy','uz')","['uy','ux','uz']","{'ux': [0.0232159871201607, 0.04306414772040167], 'uy': [-6.905393855853766e-05, 0.014884362492585054], 'uz': [0.22620671914796064, 0.2618073313498739]}",1.6081140041351318,0.9215090274810791,0.41805243492126465,7.867813110351562e-06,0,2.947683334350586,0.0
0.0001,0.000101,9000,hydrogen,"('ux','uy','uz')","['ux','uy','uz']","{'ux': [0.03692899201161642, 0.042469983946264035], 'uy': [-0.004080734553338224, -0.002057034027971023], 'uz': [0.08067650540280578, 0.1069276749783145]}",1.6087913513183594,4.440181493759155,0.5026097297668457,2.6337318420410156,0,9.185314416885376,0.0
0.0001,9.9e-05,9000,hydrogen,"('ux','uy','uz')","['ux','uz','uy']","{'ux': [0.02537431597540879, 0.03537702675006715], 'uy': [0.0076563479376409865, 0.021688084466948233], 'uz': [0.1940763698757167, 0.21825940517224085]}",1.606607437133789,0.8785433769226074,0.44329237937927246,8.58306884765625e-06,0,2.9284517765045166,0.0
0.0001,9.9e-05,9000,hydrogen,"('ux','uy','uz')","['uy','uz']","{'ux': [-0.005086486610627288, -0.00040147227178795184], 'uy': [-0.0017509000543764867, -0.0008454560491396241], 'uz': [0.12187991479536044, 0.13081982483632845]}",10.666613340377808,2.3955435752868652,0.4830741882324219,13.23023009300232,0,26.775461196899414,0.0
0.0001,0.000101,9000,hydrogen,"('ux','uy','uz')","['ux','uy','uz']","{'ux': [-0.03413419200513988, -0.027134876948158186], 'uy': [-0.030008458458409493, -0.02204004337560824], 'uz': [0.14611220545306408, 0.16705734977165765]}",3.7588021755218506,4.4778501987457275,0.4611790180206299,8.531049489974976,0,17.228880882263184,0.0
0.0001,0.0001,9000,hydrogen,"('ux','uy','uz')","['uz','uy']","{'ux': [-0.07579519476533635, 0.033183271642330155], 'uy': [-0.0016046614552116902, -0.0006285864001295996], 'uz': [0.13812127921800474, 0.14151380053152238]}",2.5202159881591797,3.375418186187744,0.48720455169677734,1.3384876251220703,0,7.7213263511657715,0.0
