query_seq,target_percentage,select_set,test_type,test_name,index_type,storage,secondary,direct_block_read,read_groups,query_index_time_elapsed,remove_duplication_time_elapsed,sort_block_metadata_time_elapsed,find_optimal_read_solution_time_elapsed,generate_select_array_time_elapsed,get_target_data_time_elapsed,get_support_data_time_elapsed,data_calculation_time_elapsed,data_apply_select_time_elapsed,apply_particle_level_select_array_time_elapsed,total_time_elapsed,query_result_size,current_percentage,iteration,species,expand_set,envelope,data_size
88,0.01%,"('ux','uy')",5,GeoIndex,Rtree,File,None,False,True,0.026632070541381836,2.1457672119140625e-06,0.0014195442199707031,0.04745292663574219,6.7205986976623535,435.78490805625916,0.0,0.0,0.0,0.0,,2823,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.005777068173536777, 0.006511344194784687], 'uy': [0.007531094872504918, 0.00813219538694351]}",
89,0.01%,"('ux','uy')",2,GeoIndex,Min-Max,File,None,True,False,0.046843767166137695,0.002017974853515625,,,0.010611534118652344,143.10816097259521,16.218257188796997,45.491278648376465,8.241653680801392,1.0715527534484863,214.69477319717407,2524,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.017211052974262377, 0.018332744922391057], 'uy': [0.004136448368316233, 0.005021217320762295]}",1315313.0
89,0.01%,"('ux','uy')",3,GeoIndex,Rtree,File,None,True,False,0.025560855865478516,1.6689300537109375e-06,,,0.010639667510986328,134.1817045211792,16.913785696029663,45.55206799507141,8.689114570617676,1.116199016571045,206.99726581573486,2524,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.017211052974262377, 0.018332744922391057], 'uy': [0.004136448368316233, 0.005021217320762295]}",1315313.0
89,0.01%,"('ux','uy')",4,GeoIndex,Min-Max,File,None,False,True,0.04717755317687988,0.0020532608032226562,0.001308441162109375,0.04191875457763672,6.692524671554565,271.5560007095337,0.0,0.0,0.0,0.0,,2524,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.017211052974262377, 0.018332744922391057], 'uy': [0.004136448368316233, 0.005021217320762295]}",
89,0.01%,"('ux','uy')",5,GeoIndex,Rtree,File,None,False,True,0.025444746017456055,1.9073486328125e-06,0.001352071762084961,0.042801618576049805,6.497802495956421,448.78706550598145,0.0,0.0,0.0,0.0,,2524,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.017211052974262377, 0.018332744922391057], 'uy': [0.004136448368316233, 0.005021217320762295]}",
90,0.01%,"('ux','uy')",2,GeoIndex,Min-Max,File,None,True,False,0.047974586486816406,0.0010900497436523438,,,0.008875608444213867,106.60292267799377,13.64827036857605,25.61202096939087,6.593097448348999,0.8963623046875,153.81028866767883,2056,0.000101,10000,hydrogen,"['ux','uy']","{'ux': [-0.07079009909470202, -0.03855701188827796], 'uy': [-0.0016402855622758492, -0.0004688043062471936]}",1321551.0
90,0.01%,"('ux','uy')",3,GeoIndex,Rtree,File,None,True,False,0.023957014083862305,1.9073486328125e-06,,,0.008805274963378906,106.69111037254333,13.522467136383057,25.70755362510681,6.692906379699707,0.8810350894927979,153.91956973075867,2056,0.000101,10000,hydrogen,"['ux','uy']","{'ux': [-0.07079009909470202, -0.03855701188827796], 'uy': [-0.0016402855622758492, -0.0004688043062471936]}",1321551.0
90,0.01%,"('ux','uy')",4,GeoIndex,Min-Max,File,None,False,True,0.048304080963134766,0.0011327266693115234,0.0012047290802001953,0.03436470031738281,6.283678293228149,305.4798843860626,0.0,0.0,0.0,0.0,,2056,0.000101,10000,hydrogen,"['ux','uy']","{'ux': [-0.07079009909470202, -0.03855701188827796], 'uy': [-0.0016402855622758492, -0.0004688043062471936]}",
90,0.01%,"('ux','uy')",5,GeoIndex,Rtree,File,None,False,True,0.02361583709716797,1.9073486328125e-06,0.0012292861938476562,0.03455781936645508,6.330256700515747,304.71751141548157,0.0,0.0,0.0,0.0,,2056,0.000101,10000,hydrogen,"['ux','uy']","{'ux': [-0.07079009909470202, -0.03855701188827796], 'uy': [-0.0016402855622758492, -0.0004688043062471936]}",
91,0.01%,"('ux','uy')",2,GeoIndex,Min-Max,File,None,True,False,0.03335380554199219,0.00138092041015625,,,0.005194664001464844,64.75431799888611,10.413583517074585,15.460374116897583,5.282390832901001,0.5750241279602051,96.91457915306091,1148,0.0001,10000,hydrogen,"['uy','ux']","{'ux': [0.04915600499079966, 0.06775562662891019], 'uy': [-0.029886452421464187, -0.02005164396327354]}",1306807.0
91,0.01%,"('ux','uy')",3,GeoIndex,Rtree,File,None,True,False,0.02021956443786621,1.6689300537109375e-06,,,0.005233287811279297,65.92381811141968,10.872233867645264,15.627744197845459,5.467641115188599,0.58636474609375,98.89446496963501,1148,0.0001,10000,hydrogen,"['uy','ux']","{'ux': [0.04915600499079966, 0.06775562662891019], 'uy': [-0.029886452421464187, -0.02005164396327354]}",1306807.0
91,0.01%,"('ux','uy')",4,GeoIndex,Min-Max,File,None,False,True,0.03361320495605469,0.001402139663696289,0.000997304916381836,0.019414424896240234,5.95482611656189,472.9865930080414,0.0,0.0,0.0,0.0,,1148,0.0001,10000,hydrogen,"['uy','ux']","{'ux': [0.04915600499079966, 0.06775562662891019], 'uy': [-0.029886452421464187, -0.02005164396327354]}",
91,0.01%,"('ux','uy')",5,GeoIndex,Rtree,File,None,False,True,0.02011728286743164,2.1457672119140625e-06,0.000982522964477539,0.019350290298461914,6.009328603744507,481.94238233566284,0.0,0.0,0.0,0.0,,1148,0.0001,10000,hydrogen,"['uy','ux']","{'ux': [0.04915600499079966, 0.06775562662891019], 'uy': [-0.029886452421464187, -0.02005164396327354]}",
92,0.01%,"('ux','uy')",2,GeoIndex,Min-Max,File,None,True,False,0.03688549995422363,0.0032248497009277344,,,0.006810665130615234,80.83878421783447,11.028788805007935,19.53630304336548,4.9994215965271,0.6982913017272949,117.44970536231995,1551,0.0001,10000,hydrogen,"['uy','ux']","{'ux': [0.013201124255636118, 0.021055125358730595], 'uy': [-0.04920942211614042, -0.04138643096015586]}",1312182.0
